109350_1..S03R,1,1065,694,11,1,3260,660,1083,3
105850_2..S01R,2,1064,659,10,1,2385,395,1086,3
108800_3..S01R,3,1064,688,8,1,2030,390,1082,3
109350_1..S03R,1,1068,694,11,1,3072,660,1092,1
104650_2..S01R,2,1068,647,11,1,1160,394.2857142857142857142857143,1095,1
108800_3..S01R,3,1068,688,8,1,1842,390,1094,1
104550_1..S03R,1,1071,646,12,1,0,660,1091,1
104650_2..S01R,2,1071,647,10,1,1028,390,1096,1
108800_3..S01R,3,1071,688,8,1,1658,390,1094,1
109350_1..S03R,1,1074,694,11,1,2703,660,1091,1
104650_2..S01R,2,1074,647,10,1,859,390,1096,1
108800_3..S01R,3,1074,688,8,1,1473,390,1094,1
110950_1..S03R,1,1077,670,12,1,3475,660,1098,3
104650_2..S01R,2,1077,647,11,1,688,390,1096,3
106400_3..S01R,3,1077,664,7,1,0,390,1094,3
105350_1..S03R,1,1080,654,12,1,0,660,1098,3
103450_2..S01R,2,1080,635,11,1,0,390,1096,3
108800_3..S01R,3,1080,688,8,1,1097,390,1094,3
110950_1..S03R,1,1083,670,11,1,3096,660,1098,3
104650_2..S01R,2,1083,647,11,1,386,390,1097,3
108800_3..S01R,3,1083,688,8,1,906,390,1094,3
107750_1..S03R,1,1085,678,7,1,993,660,1107,1
105850_2..S01R,2,1085,659,9,1,878,390,1109,1
107600_3..S01R,3,1085,676,7,1,23,390,1118,1
110950_1..S03R,1,1094,670,11,1,2465,660,1115,1
110650_2..S01R,2,1094,667,11,1,3515,390,1119,1
108800_3..S01R,3,1094,688,9,1,253,390,1118,1
110950_1..S03R,1,1097,670,11,1,2280,660,1115,1
110650_2..S01R,2,1097,667,10,1,3330,390,1119,1
108800_3..S01R,3,1097,688,8,1,85,390,1118,1
110950_1..S03R,1,1100,670,12,1,2092,660,1123,2
110650_2..S01R,2,1100,667,11,1,3142,390,1119,2
111200_3..S01R,3,1100,672,8,1,1342,390,1130,2
107750_1..S03R,1,1104,678,12,1,0,660,1123,2
105850_2..S01R,2,1104,659,11,1,0,390,1119,2
111200_3..S01R,3,1103,672,8,1,1158,390,1119,2
110950_1..S03R,1,1106,670,11,1,1716,660,1123,2
110650_2..S01R,2,1106,667,11,1,2766,390,1119,2
113600_3..S01R,3,1106,696,8,1,2406,390,1121,2
110950_1..S03R,1,1109,670,11,1,1532,660,1131,3
110650_2..S01R,2,1109,667,10,1,2652,390,1133,3
113600_3..S01R,3,1109,696,8,1,2222,390,1130,3
110950_1..S03R,1,1113,670,11,1,1326,660,1131,3
107050_2..S01R,2,1113,671,11,1,0,390,1133,3
113600_3..S01R,3,1113,696,8,1,2037,390,1130,3
110950_1..S03R,1,1116,670,12,1,1135,660,1139,1
110650_2..S01R,2,1116,667,11,1,2316,390,1143,1
114800_3..S01R,3,1116,708,9,1,2572,390,1142,1
110950_1..S03R,1,1118,670,12,1,945,660,1139,2
110650_2..S01R,2,1118,667,10,1,2136,390,1135,2
114800_3..S01R,3,1118,708,9,1,2384,390,1142,2
110950_1..S03R,1,1122,670,12,1,778,660,1139,2
110650_2..S01R,2,1122,667,10,1,1957,390,1135,2
114800_3..S01R,3,1122,708,8,1,2199,390,1142,2
110950_1..S03R,1,1125,670,12,1,592,660,1147,2
110650_2..S01R,2,1125,667,10,1,1491,390,1145,2
114800_3..S01R,3,1125,708,8,1,2010,390,1154,2
110150_1..S03R,1,1128,662,11,1,0,660,1146,3
110650_2..S01R,2,1128,667,10,1,1303,390,1145,3
114800_3..S01R,3,1128,708,8,1,1825,390,1142,3
110950_1..S03R,1,1131,670,11,1,218,660,1147,2
110650_2..S01R,2,1131,667,10,1,1127,390,1146,2
114800_3..S01R,3,1131,708,9,1,1638,390,1154,2
110950_1..S03R,1,1135,670,12,1,71,660,1155,3
110650_2..S01R,2,1135,667,10,1,1016,390,1159,3
